agent,area_sqm,bathrooms,bedrooms,description,listing_id,location,on_show,price,property_type,special_tag,url,crime_index,gautrain_km
,261.0,,,,,Ruimsig,,2625000.0,Commercial Property,,,2.0,17.29
,80.0,,2.0,,,Honeyhills,,665000.0,2 Bedroom Apartment,,,3.0,13.84
,120.0,,2.0,,,Constantia Kloof,,1695000.0,2 Bedroom Townhouse,,,3.0,13.92
,83.0,,2.0,,,Horizon View,,560000.0,2 Bedroom Apartment,,,3.0,13.84
,489.0,,3.0,,,Constantia Kloof,,3100000.0,3 Bedroom House,,,3.0,13.92
,860.0,,3.0,,,Roodepoort West,,1249900.0,3 Bedroom House,,,3.0,13.84
,160.0,,3.0,,,Willowbrook,,1450000.0,3 Bedroom Townhouse,,,3.0,13.84
,84.0,,2.0,,,Wilgeheuwel,,799000.0,2 Bedroom Apartment,,,3.0,13.84
,302.0,,3.0,,,Ruimsig Country Estate,,2740000.0,3 Bedroom Townhouse,,,3.0,13.84
,107.0,,2.0,,,Weltevreden Park,,789000.0,2 Bedroom Apartment,,,3.0,9.07
,881.0,2.0,3.0,,,Witpoortjie,,1195000.0,3 Bedroom House,,,3.0,13.84
,92.0,,3.0,,,Honeypark,,790000.0,3 Bedroom Townhouse,,,3.0,13.84
,93.0,,4.0,,,Roodepoort West,,1499000.0,4 Bedroom House,,,3.0,13.84
,800.0,,,,,Industria North,,3750000.0,Industrial Property,,,3.0,13.84
,852.0,,3.0,,,Witpoortjie,,1150000.0,3 Bedroom House,,,3.0,13.84
,77.0,,1.0,,,Florida,,430000.0,1 Bedroom Apartment,,,6.0,14.56
,58.0,,5.0,,,Helderkruin,,1700000.0,5 Bedroom House,,,3.0,14.75
,837.0,,,,,Eagle Canyon Golf Estate,,2875000.0,Vacant Land,,,3.0,13.84
,317.0,,,,,Laser Park,,2529660.0,Commercial Property,,,3.0,15.05
,239.0,,,,,Laser Park,,1907220.0,Commercial Property,,,3.0,15.05
,367.0,,,,,Laser Park,,2928660.0,Commercial Property,,,3.0,15.05
,302.0,,,,,Laser Park,,2409960.0,Commercial Property,,,3.0,15.05
,294.0,,,,,Laser Park,,2346120.0,Commercial Property,,,3.0,15.05
,355.0,,,,,Laser Park,,2832900.0,Commercial Property,,,3.0,15.05
,56.0,,2.0,,,Wilgeheuwel,,895000.0,2 Bedroom Townhouse,,,3.0,13.84
,350.0,,,,,Discovery,,1500000.0,Commercial Property,,,4.0,12.35
,240.0,,,,,Weltevreden Park,,2050000.0,Commercial Property,,,3.0,9.07
,625.0,,2.0,,,Lindhaven,,960000.0,2 Bedroom Townhouse,,,3.0,13.84
,60.0,,2.0,,,Radiokop,,735000.0,2 Bedroom Apartment,,,3.0,12.01
,283.0,,3.0,,,Eagle Canyon Golf Estate,,3050000.0,3 Bedroom Townhouse,,,3.0,13.84
,85.0,,2.0,,,Honeydew,,730000.0,2 Bedroom Apartment,,,4.0,11.41
,60.0,,2.0,,,Radiokop,,725000.0,2 Bedroom Apartment,,,3.0,12.01
,76.0,,2.0,,,Little Falls,,675000.0,2 Bedroom Townhouse,,,4.0,12.77
,115.0,,3.0,,,Witpoortjie,,1399000.0,3 Bedroom House,,,3.0,13.84
,33.0,,4.0,,,Ruimsig Ah,,4600000.0,4 Bedroom House,,,3.0,13.84
,680.0,,,,,Lea Glen,,15500000.0,Industrial Property,,,3.0,13.84
,69.0,,2.0,,,Wilgeheuwel,,750000.0,2 Bedroom Apartment,,,3.0,13.84
,60.0,,2.0,,,Witpoortjie,,545000.0,2 Bedroom Apartment,,,3.0,13.84
,155.0,,3.0,,,Radiokop,,1570000.0,3 Bedroom Townhouse,,,3.0,12.01
,126.0,,2.0,,,Wilro Park,,1390000.0,2 Bedroom Townhouse,,,3.0,13.84
,60.0,,2.0,,,Weltevreden Park,,680000.0,2 Bedroom Apartment,,,3.0,9.07
,60.0,,2.0,,,Radiokop,,825000.0,2 Bedroom Apartment,,,3.0,12.01
,846.0,,1.0,,,Helderkruin,,550000.0,1 Bedroom Townhouse,,,3.0,14.75
,56.0,,2.0,,,Wilgeheuwel,,849000.0,2 Bedroom Townhouse,,,3.0,13.84
,158.0,,3.0,,,Radiokop,,1799000.0,3 Bedroom Townhouse,,,3.0,12.01
,517.0,,,,,Laser Park,,6000000.0,Industrial Property,,,3.0,15.05
,608.0,,3.0,,,Davidsonville,,850000.0,3 Bedroom House,,,3.0,13.84
,308.0,,2.0,,,Cosmo City,,850000.0,2 Bedroom House,,,3.0,13.84
